Time,X_pos,Y_pos,X_vel,Y_vel,X_acl,Y_acl,Angle,Ang_vel,Ang_acl
1.1500000000000001,-2.5330275465916934,74.75256871034165,-8.50536267853227,166.04493276498604,-20.929363073560047,169.1618455302568,6.669999999999992,11.499999999999975,10.0
1.16,-2.6201741096843723,76.42993422254453,-8.714656309267871,167.73655122028862,-21.272676488791724,168.95954747614508,6.785999999999992,11.599999999999975,10.0
1.17,-2.70944794042593,78.12419568949504,-8.927383074155788,169.42614669505008,-21.618373204142898,168.75621625330547,6.902999999999992,11.699999999999974,10.0
1.18,-2.800883608487902,79.83533277807086,-9.143566806197217,171.11370885758313,-21.966441291276006,168.5518359396091,7.020999999999991,11.799999999999974,10.0
1.19,-2.8945159206790017,81.56332505024065,-9.363231219109977,172.79922721697923,-22.316868737634678,168.34639053027382,7.139999999999991,11.899999999999974,10.0
1.2,-2.990379919743865,83.30815196146347,-9.586399906486324,174.48269112228198,-22.669643445245715,168.13986393901158,7.259999999999991,11.999999999999973,10.0
1.21,-3.0885108831532526,85.06979285908018,-9.813096340938781,176.1640897616721,-23.024753229517703,167.93223999918553,7.3809999999999905,12.099999999999973,10.0
1.22,-3.188944321885592,86.84822698069682,-10.043343873233958,177.84341216166396,-23.38218581803659,167.72350246497678,7.50299999999999,12.199999999999973,10.0
1.23,-3.2917159791997355,88.64343345255996,-10.277165731414325,179.52064718631374,-23.741928849358278,167.51363501256074,7.62599999999999,12.299999999999972,10.0
1.24,-3.3968618293988144,90.45539128792436,-10.514585019907907,181.19578353643934,-24.103969871798466,167.30262124129354,7.749999999999989,12.399999999999972,10.0
1.25,-3.504418076585073,92.28407938541288,-10.755624718625892,182.86880974885227,-24.46829634221973,167.09044467490835,7.874999999999989,12.499999999999972,10.0
1.26,-3.614421153405554,94.1294765273689,-11.00030768204809,184.53971419560136,-24.83335271212704,166.8661117586143,8.000999999999989,12.599999999999971,10.0
1.27,-3.726907565497248,95.99156028050076,-11.24864120916936,186.2083753131875,-25.186515348172346,166.54182775194596,8.127999999999988,12.69999999999997,10.0
1.28,-3.8419126291237586,97.87029821640783,-11.500506362651084,187.87379359070695,-25.541434833526058,166.21640173400866,8.255999999999988,12.79999999999997,10.0
1.29,-3.959471836233622,99.7656577924883,-11.755920710986345,189.53595760804703,-25.898092743685748,165.8898194282884,8.384999999999987,12.89999999999997,10.0
1.3,-4.079620852617854,101.6776063505116,-12.014901638423202,191.19485580232993,-26.25647056917656,165.56206653978046,8.514999999999986,12.99999999999997,10.0
1.31,-4.202395516059004,103.60611111518887,-12.277466344114968,192.85047646772773,-26.616549714691104,165.23312875669188,8.645999999999987,13.09999999999997,10.0
1.32,-4.327831834471622,105.55113919274181,-12.54363184126188,194.50280775529464,-26.978311498234348,164.9029917521521,8.777999999999986,13.199999999999969,10.0
1.33,-4.455965984034065,107.51265756946998,-12.813414956244223,196.15183767281616,-27.34173715027382,164.57164118593238,8.910999999999985,13.299999999999969,10.0
1.34,-4.586834307311534,109.49063311031674,-13.086832327746961,197.79755408467548,-27.70680781289533,164.2390627061734,9.044999999999986,13.399999999999968,10.0
1.35,-4.720473311370293,111.48503255743411,-13.363900405875915,199.4399447117372,-28.07350453896442,163.9052419511222,9.179999999999986,13.499999999999968,10.0
1.36,-4.856919665882949,113.4958225287466,-13.64463545126556,201.07899713124843,-28.441808291293682,163.57016455087685,9.315999999999985,13.599999999999968,10.0
1.37,-4.996210201224734,115.52296951651417,-13.929053534178497,202.7146987767572,-28.811699941816354,163.23381612914093,9.452999999999985,13.699999999999967,10.0
1.3800000000000001,-5.138381906560701,117.56643988589465,-14.21717053359666,204.3470369380486,-29.183160270766113,162.89618230498587,9.590999999999985,13.799999999999967,10.0
1.3900000000000001,-5.2834719279237445,119.62619987350564,-14.509002136304321,205.97599876109845,-29.556169965863702,162.55724869462284,9.729999999999984,13.899999999999967,10.0
1.4000000000000001,-5.431517566283374,121.70221558598608,-14.80456383596296,207.60157124804468,-29.941797061138995,162.28072606408242,9.869999999999983,13.999999999999966,10.0
1.41,-5.582557384349117,123.79445937107293,-15.10398180657435,209.2243785086855,-30.34611453608831,162.09836643104805,10.010999999999983,14.099999999999966,10.0
1.42,-5.7366318138684695,125.9029129928029,-15.407442951935233,210.84536217299598,-30.75271307813811,161.91452296174114,10.152999999999983,14.199999999999966,10.0
1.43,-5.893781514695636,128.02755806682904,-15.714970082716613,212.46450740261338,-31.16158079985586,161.729176824399,10.295999999999982,14.299999999999965,10.0
1.44,-6.0540473736027876,130.16837605853763,-16.02658589071517,214.08179917085738,-31.572705692382925,161.5423091119423,10.439999999999982,14.399999999999965,10.0
1.45,-6.217470503079178,132.3253482811574,-16.342312947639,215.6972222619768,-31.98607562401575,161.3539008432002,10.584999999999981,14.499999999999964,10.0
1.46,-6.38409224011797,134.4984558938615,-16.66217370387916,217.31076127040882,-32.40167833878479,161.16393296414884,10.73099999999998,14.599999999999964,10.0
1.47,-6.55395414499064,136.687679899862,-16.986190487267006,218.9224006000503,-32.81950145503148,160.97238634916454,10.87799999999998,14.699999999999964,10.0
1.48,-6.727098000008813,138.89300114449742,-17.31438550181732,220.53212446354195,-33.23953246398322,160.77924180229033,11.02599999999998,14.799999999999963,10.0
1.49,-6.903565808273385,141.11440031331307,-17.646780826457153,222.13991688156486,-33.661758728326774,160.58448005851687,11.17499999999998,14.899999999999963,10.0
1.5,-7.0833997924107885,143.35185793013457,-17.98339841374042,223.74576168215003,-34.086167480780155,160.3880817850779,11.32499999999998,14.999999999999963,10.0
1.51,-7.266642393296271,145.60535435513458,-18.324260088548222,225.3496425000008,-34.51274582266309,160.19002758276002,11.47599999999998,15.099999999999962,10.0
1.52,-7.45333626876402,147.87486978289286,-18.669387546774853,226.95154277582841,-34.941480722466345,159.99029798722685,11.627999999999979,15.199999999999962,10.0
1.53,-7.643524292304015,150.16038424044987,-19.01880235399952,228.55144575570068,-35.372359014420205,159.78887347035845,11.78099999999998,15.299999999999962,10.0
1.54,-7.837249551745452,152.4618775853539,-19.37252594414372,230.14933449040427,-35.80536739706197,159.5857344416052,11.93499999999998,15.399999999999961,10.0
1.55,-8.034555347926595,154.77932950370212,-19.73057961811434,231.74519183482033,-36.240492431803006,159.38086124935694,12.089999999999979,15.499999999999961,10.0
1.56,-8.235485193350918,157.11271950817525,-20.092984542432372,233.3390004473139,-36.67772054149527,159.1742341823271,12.245999999999977,15.59999999999996,10.0
1.57,-8.440082810829391,159.46202693606662,-20.459761747847324,234.93074278913718,-37.11931696181151,158.97619615561732,12.402999999999977,15.69999999999996,10.0
1.58,-8.648392360004046,161.82723198357357,-20.83095491746544,236.52050475069336,-37.58381370081574,158.8695592574453,12.560999999999977,15.79999999999996,10.0
1.59,-8.860460290548781,164.20832398700625,-21.206793054473597,238.10920034326782,-38.05094671553656,158.76098001895872,12.719999999999976,15.89999999999996,10.0
1.6,-9.076333315765071,166.60529208844082,-21.587302521628963,239.6968101434574,-38.52070673572565,158.65043487337212,12.879999999999976,15.99999999999996,10.0
1.61,-9.296058411654933,169.01812523336272,-21.97250958898622,241.28331449219112,-38.99308432263679,158.53790014290428,13.040999999999976,16.09999999999996,10.0
1.62,-9.519682815977058,171.44681216829892,-22.362440432212587,242.86869349362016,-39.46806986706816,158.42335203991314,13.202999999999975,16.19999999999996,10.0
1.6300000000000001,-9.74725402728589,173.8913414384391,-22.75712113088327,244.45292701401928,-39.945653587398255,158.3067666680506,13.365999999999975,16.29999999999996,10.0
1.6400000000000001,-9.978819803953463,176.3517013852461,-23.156577666757254,246.0359946806998,-40.42582552761569,158.18812002343813,13.529999999999974,16.399999999999963,10.0
1.6500000000000001,-10.214428163173798,178.82788014405543,-23.560835922033412,247.61787588093418,-40.90857555534301,158.06738799586313,13.694999999999974,16.499999999999964,10.0
1.6600000000000001,-10.454127379949666,181.31986564166436,-23.969921677586843,249.1985497608928,-41.39389335985472,157.94454636999635,13.860999999999974,16.599999999999966,10.0
1.67,-10.69796598606152,183.8276455939103,-24.38386061118539,250.77799522459276,-41.881768450089666,157.81957082663052,14.027999999999974,16.699999999999967,10.0
1.68,-10.945992769018384,186.35120750323887,-24.802678295686288,252.35619093285905,-42.372190152658085,157.69243694394035,14.195999999999973,16.79999999999997,10.0
1.69,-11.198256770990513,188.89053865626184,-25.226400197212868,253.93311530229846,-42.865147609843326,157.56312019876435,14.364999999999974,16.89999999999997,10.0
1.7,-11.454807287723625,191.4456261213047,-25.655051673311302,255.5087465042861,-43.360629777598675,157.43159596790844,14.534999999999973,16.99999999999997,10.0
1.71,-11.715693867434497,194.01645674594437,-26.08865797108729,257.0830624639652,-43.858625423539266,157.29783952947173,14.705999999999973,17.099999999999973,10.0
1.72,-11.980966309687725,196.60301715453696,-26.527244225322683,258.6560408592599,-44.35912312492943,157.1618260641948,14.877999999999973,17.199999999999974,10.0
1.73,-12.250674664253445,199.205293745736,-26.970835456571976,260.2276591199019,-44.862111266665615,157.0235306568303,15.050999999999974,17.299999999999976,10.0
1.74,-12.524869229945832,201.8232726900007,-27.419456569238633,261.7978944264702,-45.36757803925506,156.88292829753658,15.224999999999973,17.399999999999977,10.0
1.75,-12.803600553442143,204.45693992709514,-27.873132349631184,263.3667237094455,-45.875511436790646,156.739993883294,15.399999999999972,17.49999999999998,10.0
1.76,-13.086919428082133,207.10628116357793,-28.33188746399909,264.93412364827844,-46.3751666738623,156.55620017488894,15.575999999999972,17.59999999999998,10.0
